id,name,lat,lon
M32014,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.36662,-71.11421
M32015,Vassal Lane at Tobin VLUS,42.38423,-71.14033
M32016,Harvard Kennedy School at Bennett St / Eliot St,42.37222,-71.12188
M32017,Harvard Square at Brattle St / Eliot St,42.37333,-71.12099
M32018,Harvard Square at Mass Ave/ Dunster,42.37327,-71.11858
M32019,Cambridgeside Pl at Land Blvd,42.36693,-71.07651
M32020,Harvard Law School at Mass Ave / Jarvis St,42.37901,-71.11995
M32021,Harvard University Gund Hall at Quincy St / Kirkland St,42.37637,-71.11402
M32022,Lower Cambridgeport at Magazine St / Riverside Rd,42.35722,-71.11387
M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.37794,-71.11687
M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.38029,-71.12511
M32025,Linear Park - Mass. Ave. at Cameron Ave.,42.39783,-71.13052
M32026,359 Broadway - Broadway at Fayette Street,42.3708,-71.10441
M32027,Binney St / Sixth St,42.36609,-71.08634
M32028,359 Broadway,42.3708,-71.10445
M32029,Porter Square Station,42.38799,-71.11908
M32030,Dana Park,42.36178,-71.1081
M32031,Danehy Park,42.38897,-71.13279
M32032,Kendall Street,42.36308,-71.08232
M32033,Alewife Station at Russell Field,42.39623,-71.13979
M32034,EF - North Point Park,42.36988,-71.06996
M32035,Rogers St & Land Blvd,42.36645,-71.07655
M32036,Rindge Avenue - O'Neill Library,42.39277,-71.12904
M32037,Ames St at Main St,42.3625,-71.08822
M32038,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36924,-71.11687
M32039,Lesley University,42.38675,-71.11902
M32040,University Park,42.36265,-71.10006
M32041,MIT Pacific St at Purrington St,42.35957,-71.10129
M32042,MIT Vassar St,42.3556,-71.10394
M32043,Mt Auburn,42.37493,-71.1353
M32044,Huron Ave At Vassal Lane,42.38165,-71.13427
M32045,Museum of Science,42.36769,-71.07116
M32046,Alewife MBTA at Steel Place,42.39559,-71.14261
M32047,Sidney Research Campus/Erie Street at Waverly,42.35775,-71.10393
M32048,Third at Binney,42.36544,-71.08277
M32049,Child Street at Brian P. Murphy Staircase,42.37198,-71.072
M32050,Verizon Innovation Hub 10 Ware Street,42.37251,-71.11305
M32051,Fresh Pond Reservation,42.38268,-71.14348
M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.3712,-71.0976
M32053,One Memorial Drive,42.36166,-71.08029
M32054,699 Mt Auburn St,42.375,-71.14872
M32055,Harvard St at Greene-Rose Heritage Park,42.36599,-71.09522
M32056,Mass Ave at Hadley/Walden,42.39121,-71.12261
M32057,Alpine Path at Concord Ave,42.38537,-71.13776
M32058,84 Cambridgepark Dr,42.3936,-71.14394
M32059,Ames St at Broadway,42.36369,-71.08757
M32060,700 Huron Ave,42.38079,-71.15413
M32061,Mass Ave at Albany St,42.36136,-71.0967
M32062,Inman Square at Springfield St.,42.37427,-71.10026
M32063,Sennott Park Broadway at Norfolk Street,42.36861,-71.0993
M32064,75 Binney St,42.36551,-71.08014
M32065,Kennedy-Longfellow School 158 Spring St,42.36955,-71.08579
M32066,Discovery Park - 30 Acorn Park Drive,42.39791,-71.14797
